text,intent
"Pengingat jadwal ANC: Senin, 18 September 2025.",reminder_kontrol_kehamilan
"Kontrol kehamilan penting untuk memantau janin, jadwal selanjutnya tanggal 20 September.",reminder_kontrol_kehamilan
"Jangan lewatkan pemeriksaan ANC rutin ibu minggu depan.",reminder_kontrol_kehamilan
"Notifikasi: Jadwal kunjungan ANC berikutnya adalah tanggal 22 September.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan kehamilan ibu sudah dijadwalkan.",reminder_kontrol_kehamilan
"Ingat ya bu, jadwal ANC selanjutnya ada hari Jumat depan.",reminder_kontrol_kehamilan
"Pengingat: Kunjungan kehamilan ibu selanjutnya pada tanggal 25 September.",reminder_kontrol_kehamilan
"Harap hadir untuk kontrol ANC minggu depan sesuai catatan medis.",reminder_kontrol_kehamilan
"Sudah waktunya untuk periksa tekanan darah dan kondisi janin di ANC selanjutnya.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC ibu berikutnya dijadwalkan tanggal 28 September.",reminder_kontrol_kehamilan
"Notifikasi: Jangan lupa kontrol ANC sesuai jadwal yang sudah diberikan.",reminder_kontrol_kehamilan
"Pengingat jadwal kontrol kehamilan: 30 September 2025.",reminder_kontrol_kehamilan
"Kontrol kehamilan berikutnya sudah dekat, mohon hadir tepat waktu.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC ibu dijadwalkan minggu depan.",reminder_kontrol_kehamilan
"Pengingat: Kunjungan ANC ibu selanjutnya hari Senin.",reminder_kontrol_kehamilan
"Harap hadir untuk kontrol kehamilan rutin sesuai jadwal ANC.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC selanjutnya tanggal 2 Oktober 2025.",reminder_kontrol_kehamilan
"Jangan lupa periksa ANC sesuai jadwal ibu.",reminder_kontrol_kehamilan
"Pengingat: Kontrol ANC ibu sudah dijadwalkan hari Kamis depan.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC ibu berikutnya jangan sampai terlewat.",reminder_kontrol_kehamilan
"Harap hadir untuk kunjungan ANC pada jadwal yang sudah ditentukan.",reminder_kontrol_kehamilan
"Notifikasi: Sudah waktunya pemeriksaan kehamilan ibu.",reminder_kontrol_kehamilan
"Pengingat kunjungan ANC berikutnya: 4 Oktober 2025.",reminder_kontrol_kehamilan
"Reminder: Jangan lupa datang ke jadwal ANC berikutnya.",reminder_kontrol_kehamilan
"Kontrol kehamilan ibu selanjutnya tanggal 6 Oktober.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC rutin minggu depan.",reminder_kontrol_kehamilan
"Pengingat: Jadwal kontrol ANC selanjutnya sudah dekat.",reminder_kontrol_kehamilan
"Harap hadir untuk pemeriksaan kehamilan ibu tanggal 8 Oktober.",reminder_kontrol_kehamilan
"Reminder: Jangan sampai lupa jadwal ANC berikutnya.",reminder_kontrol_kehamilan
"Pengingat jadwal ANC: Jumat, 10 Oktober 2025.",reminder_kontrol_kehamilan
"Kontrol kehamilan ibu berikutnya tanggal 12 Oktober.",reminder_kontrol_kehamilan
"Notifikasi: Kunjungan ANC ibu sudah dijadwalkan.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC penting untuk kesehatan ibu dan janin. Jadwal selanjutnya minggu depan.",reminder_kontrol_kehamilan
"Pengingat: Jadwal kunjungan kehamilan berikutnya adalah 14 Oktober.",reminder_kontrol_kehamilan
"Harap hadir sesuai jadwal untuk pemeriksaan ANC selanjutnya.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC berikutnya tanggal 15 Oktober.",reminder_kontrol_kehamilan
"Reminder: Jangan lewatkan jadwal kontrol kehamilan rutin.",reminder_kontrol_kehamilan
"Pengingat jadwal ANC: Rabu, 16 Oktober 2025.",reminder_kontrol_kehamilan
"Sudah waktunya kontrol ANC lagi, mohon hadir sesuai jadwal.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC ibu sudah masuk jadwal minggu depan.",reminder_kontrol_kehamilan
"Reminder: Kunjungan ANC berikutnya tanggal 18 Oktober.",reminder_kontrol_kehamilan
"Pengingat: Pemeriksaan kehamilan ibu sudah dijadwalkan.",reminder_kontrol_kehamilan
"Harap hadir untuk kontrol ANC sesuai dengan jadwal catatan kehamilan.",reminder_kontrol_kehamilan
"Notifikasi: Jangan lupa datang untuk pemeriksaan kehamilan rutin.",reminder_kontrol_kehamilan
"Pengingat kunjungan ANC ibu selanjutnya: Sabtu, 19 Oktober.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC berikutnya penting untuk kesehatan ibu.",reminder_kontrol_kehamilan
"Notifikasi: Sudah waktunya kontrol kehamilan sesuai jadwal ANC.",reminder_kontrol_kehamilan
"Pengingat: Ibu ada jadwal kunjungan ANC pada tanggal 5 September 2025.",reminder_kontrol_kehamilan
"Jangan lupa kontrol kehamilan minggu depan ya bu.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC berikutnya tanggal 10 September.",reminder_kontrol_kehamilan
"Sudah waktunya kontrol rutin ANC, mohon hadir sesuai jadwal.",reminder_kontrol_kehamilan
"Reminder: Jadwal ANC selanjutnya 12 September 2025.",reminder_kontrol_kehamilan
"Pengingat jadwal kontrol ibu: 15 September.",reminder_kontrol_kehamilan
"Harap hadir untuk ANC minggu depan sesuai catatan medis.",reminder_kontrol_kehamilan
"Notifikasi: Kontrol kehamilan berikutnya sudah dijadwalkan.",reminder_kontrol_kehamilan
"Reminder: Jangan sampai terlewat pemeriksaan ANC berikutnya.",reminder_kontrol_kehamilan
"Pengingat: Jadwal kunjungan ANC berikutnya 18 September.",reminder_kontrol_kehamilan
"Sudah saatnya periksa kehamilan rutin sesuai jadwal ANC.",reminder_kontrol_kehamilan
"Kontrol ANC ibu selanjutnya dijadwalkan tanggal 20 September.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan kehamilan minggu depan jangan lupa hadir.",reminder_kontrol_kehamilan
"Notifikasi: Kunjungan ANC berikutnya 22 September.",reminder_kontrol_kehamilan
"Pengingat jadwal kontrol ibu: Rabu, 24 September.",reminder_kontrol_kehamilan
"Harap hadir untuk kontrol ANC sesuai jadwal yang ditentukan.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC selanjutnya tanggal 25 September.",reminder_kontrol_kehamilan
"Pengingat: Jangan lupa datang untuk kontrol ANC berikutnya.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan kehamilan ibu sudah dijadwalkan.",reminder_kontrol_kehamilan
"Reminder: Jadwal kontrol ANC berikutnya Jumat depan.",reminder_kontrol_kehamilan
"Pengingat kunjungan ANC ibu tanggal 27 September.",reminder_kontrol_kehamilan
"Sudah waktunya kontrol ANC rutin, mohon hadir.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan kehamilan selanjutnya tanggal 29 September.",reminder_kontrol_kehamilan
"Reminder: Jangan lewatkan jadwal ANC ibu minggu depan.",reminder_kontrol_kehamilan
"Pengingat: Kontrol ANC ibu selanjutnya sudah dekat.",reminder_kontrol_kehamilan
"Harap hadir untuk pemeriksaan ANC berikutnya sesuai jadwal.",reminder_kontrol_kehamilan
"Notifikasi: Jadwal kunjungan ANC ibu 30 September.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan kehamilan ibu tanggal 2 Oktober.",reminder_kontrol_kehamilan
"Pengingat jadwal kontrol: Kamis, 3 Oktober.",reminder_kontrol_kehamilan
"Jangan lupa periksa ANC sesuai jadwal ibu.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC minggu depan jangan sampai terlewat.",reminder_kontrol_kehamilan
"Reminder: Kunjungan kehamilan ibu selanjutnya tanggal 4 Oktober.",reminder_kontrol_kehamilan
"Pengingat: Kontrol ANC rutin sudah dijadwalkan.",reminder_kontrol_kehamilan
"Notifikasi: Jadwal ANC berikutnya 5 Oktober 2025.",reminder_kontrol_kehamilan
"Reminder: Jangan sampai lupa kontrol kehamilan ibu.",reminder_kontrol_kehamilan
"Pengingat: Pemeriksaan kehamilan ibu selanjutnya tanggal 6 Oktober.",reminder_kontrol_kehamilan
"Harap hadir untuk kontrol ANC rutin sesuai jadwal berikutnya.",reminder_kontrol_kehamilan
"Reminder: Kunjungan ANC ibu berikutnya Senin depan.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC ibu tanggal 7 Oktober.",reminder_kontrol_kehamilan
"Pengingat: Jadwal kunjungan kehamilan sudah dekat.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC berikutnya penting, jangan terlewat.",reminder_kontrol_kehamilan
"Notifikasi: Kontrol kehamilan ibu tanggal 9 Oktober.",reminder_kontrol_kehamilan
"Pengingat: Jadwal ANC ibu selanjutnya Kamis, 10 Oktober.",reminder_kontrol_kehamilan
"Reminder: Jangan lupa hadir untuk kontrol ANC berikutnya.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC berikutnya tanggal 11 Oktober.",reminder_kontrol_kehamilan
"Pengingat: Jadwal kunjungan kehamilan ibu Minggu depan.",reminder_kontrol_kehamilan
"Reminder: Pemeriksaan ANC ibu sudah dijadwalkan hari Jumat.",reminder_kontrol_kehamilan
"Notifikasi: Jadwal kontrol ANC ibu tanggal 12 Oktober.",reminder_kontrol_kehamilan
"Pengingat: Jangan lupa periksa kehamilan sesuai jadwal ANC.",reminder_kontrol_kehamilan
"Reminder: Kunjungan ANC ibu selanjutnya Senin, 13 Oktober.",reminder_kontrol_kehamilan
"Notifikasi: Pemeriksaan ANC berikutnya tanggal 14 Oktober.",reminder_kontrol_kehamilan
"Pengingat: Kontrol kehamilan ibu sudah dekat, mohon hadir.",reminder_kontrol_kehamilan
"Tolong tampilkan catatan pemeriksaan ANC terakhir saya.",anc_tracker
"Saya mau lihat hasil kontrol kehamilan minggu lalu.",anc_tracker
"Apa saja hasil pemeriksaan kehamilan terakhir?",anc_tracker
"Perlihatkan tekanan darah dan berat badan dari kunjungan kemarin.",anc_tracker
"Cek catatan ANC terbaru ya.",anc_tracker
"Saya ingin tahu hasil pemeriksaan laboratorium kehamilan terakhir.",anc_tracker
"Tampilkan data denyut jantung janin dan TFU.",anc_tracker
"Bagaimana hasil kontrol ANC terakhir saya?",anc_tracker
"Lihat riwayat tekanan darah dari kunjungan ANC.",anc_tracker
"Saya ingin melihat catatan pemeriksaan fisik kehamilan.",anc_tracker
"Tolong tunjukkan hasil ANC terakhir ibu.",anc_tracker
"Periksa catatan berat badan dan lingkar lengan pada kunjungan terakhir.",anc_tracker
"Apa keluhan yang tercatat pada pemeriksaan terakhir?",anc_tracker
"Tampilkan hasil ANC lengkap minggu kemarin.",anc_tracker
"Berapa tekanan darah terakhir saya saat ANC?",anc_tracker
"Lihat hasil laboratorium ANC terakhir.",anc_tracker
"Perlihatkan semua catatan pemeriksaan kehamilan saya.",anc_tracker
"Cek detail hasil ANC terakhir termasuk tindakan yang diberikan.",anc_tracker
"Tolong tampilkan denyut jantung janin terakhir.",anc_tracker
"Saya ingin tahu lingkar lengan atas terakhir saya.",anc_tracker
"Apa hasil pemeriksaan urine dan Hb pada ANC terakhir?",anc_tracker
"Lihat data tekanan darah, BB, dan TFU pada kunjungan terakhir.",anc_tracker
"Tampilkan riwayat ANC saya bulan ini.",anc_tracker
"Cek catatan ANC terakhir yang dilakukan oleh bidan.",anc_tracker
"Saya mau lihat hasil pemeriksaan tekanan darah terakhir.",anc_tracker
"Tolong tampilkan hasil laboratorium kehamilan terbaru.",anc_tracker
"Periksa catatan keluhan yang tercatat saat ANC.",anc_tracker
"Apa hasil tindakan yang diberikan pada ANC terakhir?",anc_tracker
"Perlihatkan riwayat pemeriksaan kehamilan saya.",anc_tracker
"Saya ingin tahu hasil ANC terakhir terkait edema.",anc_tracker
"Lihat catatan pemeriksaan tinggi fundus uteri terakhir.",anc_tracker
"Tampilkan detail ANC terakhir termasuk DJJ dan TFU.",anc_tracker
"Cek hasil kontrol ANC terakhir secara lengkap.",anc_tracker
"Apa data berat badan terakhir saya di ANC?",anc_tracker
"Perlihatkan hasil pemeriksaan kehamilan lengkap.",anc_tracker
"Tolong tampilkan data pemeriksaan ANC terakhir.",anc_tracker
"Saya ingin lihat riwayat tekanan darah selama ANC.",anc_tracker
"Lihat catatan pemeriksaan kehamilan terbaru.",anc_tracker
"Bagaimana hasil pemeriksaan janin terakhir?",anc_tracker
"Berapa berat badan saya pada kunjungan ANC terakhir?",anc_tracker
"Tampilkan hasil ANC yang dilakukan minggu lalu.",anc_tracker
"Perlihatkan data pemeriksaan laboratorium ANC.",anc_tracker
"Saya ingin tahu semua keluhan yang tercatat pada ANC.",anc_tracker
"Tolong cek tindakan yang diberikan pada kunjungan ANC terakhir.",anc_tracker
"Lihat catatan ANC saya terakhir kali.",anc_tracker
"Tampilkan hasil pemeriksaan kehamilan saya yang terbaru.",anc_tracker
"Apa hasil ANC terakhir termasuk lingkar lengan dan TFU?",anc_tracker
"Perlihatkan catatan pemeriksaan terakhir yang sudah disimpan.",anc_tracker
"Cek hasil ANC terkait tekanan darah dan DJJ.",anc_tracker
"Saya ingin melihat catatan pemeriksaan ANC terakhir saya.",anc_tracker
"Tolong tunjukkan catatan pemeriksaan kehamilan terakhir saya",anc_tracker
"Saya ingin melihat hasil pemeriksaan ANC minggu lalu",anc_tracker
"Bisa tampilkan riwayat tekanan darah saat hamil?",anc_tracker
"Saya mau tahu berat badan saya di kunjungan terakhir",anc_tracker
"Tampilkan data tinggi fundus uteri saya",anc_tracker
"Catatan denyut jantung janin ada di mana?",anc_tracker
"Tolong perlihatkan riwayat lingkar lengan atas saya",anc_tracker
"Saya mau cek ada edema atau tidak di kunjungan terakhir",anc_tracker
"Tolong tampilkan catatan keluhan yang saya sampaikan",anc_tracker
"Bisa tampilkan hasil laboratorium ANC saya?",anc_tracker
"Apa saja tindakan yang diberikan pada kunjungan terakhir?",anc_tracker
"Saya mau lihat siapa yang memeriksa saya terakhir kali",anc_tracker
"Perlihatkan data ANC lengkap terakhir",anc_tracker
